SetID,Date,Time,Contact,Direction,Message
1,2026-01-02,08:13,Boss,Received,On my way.
1,2026-01-02,09:00,Priya,Received,Traffic is bad.
1,2026-01-02,10:06,Karan,Sent,Sounds good!
1,2026-01-02,10:44,Unknown,Sent,Traffic is bad.
1,2026-01-02,11:47,Aarav,Sent,Traffic is bad.
1,2026-01-02,12:45,Office,Received,Reached home.
1,2026-01-02,12:48,Aarav,Received,Running late by 10 mins.
1,2026-01-02,12:52,Rohan,Received,Can you send the notes?
1,2026-01-02,13:49,Rahul,Received,On my way.
1,2026-01-02,14:04,Sister,Sent,Meeting started.
1,2026-01-02,14:51,Karan,Sent,Call me when free.
1,2026-01-02,15:48,Mom,Received,Call me when free.
1,2026-01-02,16:59,Karan,Received,On my way.
1,2026-01-02,17:42,Rohan,Received,Reached home.
1,2026-01-02,18:55,Neha,Received,Good morning 😊
1,2026-01-02,19:00,Rahul,Sent,Have lunch?
1,2026-01-02,19:10,Karan,Sent,Good morning 😊
1,2026-01-02,20:37,Priya,Sent,Sounds good!
1,2026-01-02,20:46,Meera,Received,Traffic is bad.
1,2026-01-02,21:27,Aarav,Received,Good night.
1,2026-01-02,22:16,Aarav,Received,Meeting started.
1,2026-01-02,22:33,Rahul,Sent,No problem.
1,2026-01-02,23:24,Office,Sent,Thanks!
1,2026-01-03,00:24,Rahul,Sent,Good morning 😊
1,2026-01-03,01:23,Boss,Received,Done.
1,2026-01-03,02:19,Meera,Sent,Where are you?
1,2026-01-03,03:27,Neha,Sent,See you tomorrow.
1,2026-01-03,04:33,Dad,Received,Let's meet at 6.
1,2026-01-03,05:47,Neha,Sent,Can you send the notes?
1,2026-01-03,06:53,Priya,Sent,See you tomorrow.
1,2026-01-03,07:28,Office,Sent,Meeting started.
1,2026-01-03,07:40,Priya,Sent,On my way.
1,2026-01-03,08:06,Rohan,Sent,Call me when free.
1,2026-01-03,09:24,Neha,Sent,See you tomorrow.
1,2026-01-03,10:36,Ankit,Sent,Traffic is bad.
1,2026-01-03,10:55,Meera,Received,Can you pick up milk?
1,2026-01-03,11:47,Meera,Sent,Can you send the notes?
1,2026-01-03,13:02,Boss,Received,See you tomorrow.
1,2026-01-03,13:54,Priya,Sent,I'm outside.
1,2026-01-03,15:17,Mom,Received,See you tomorrow.
1,2026-01-03,16:33,Dad,Sent,Good morning 😊
1,2026-01-03,17:33,Neha,Received,See you tomorrow.
1,2026-01-03,18:20,Priya,Received,See you tomorrow.
1,2026-01-03,18:46,Boss,Sent,Good night.
1,2026-01-03,18:55,Boss,Received,Good night.
1,2026-01-03,20:01,Rohan,Sent,Traffic is bad.
1,2026-01-03,20:51,Neha,Sent,Done.
1,2026-01-03,21:08,Rohan,Received,Reached home.
1,2026-01-03,21:58,Mom,Received,Done.
1,2026-01-03,22:13,Unknown,Received,Let's meet at 6.
2,2026-01-03,08:32,Mom,Sent,Running late by 10 mins.
2,2026-01-03,08:43,Office,Sent,On my way.
2,2026-01-03,09:37,Rahul,Received,Traffic is bad.
2,2026-01-03,09:42,Mom,Sent,Have lunch?
2,2026-01-03,10:21,Aarav,Received,Okay.
2,2026-01-03,10:59,Rahul,Received,Running late by 10 mins.
2,2026-01-03,12:06,Mom,Received,Thanks!
2,2026-01-03,13:07,Priya,Received,Let's meet at 6.
2,2026-01-03,14:14,Rahul,Received,Good night.
2,2026-01-03,15:27,Priya,Received,Call me when free.
2,2026-01-03,16:32,Boss,Sent,Done.
2,2026-01-03,16:51,Unknown,Sent,Thanks!
2,2026-01-03,17:08,Unknown,Received,Traffic is bad.
2,2026-01-03,18:28,Mom,Received,Meeting started.
2,2026-01-03,19:15,Rohan,Received,Running late by 10 mins.
2,2026-01-03,20:06,Mom,Sent,Meeting started.
2,2026-01-03,20:20,Sister,Received,Call me when free.
2,2026-01-03,21:47,Priya,Received,Where are you?
2,2026-01-03,22:42,Aarav,Received,Thanks!
2,2026-01-03,22:44,Aarav,Sent,See you tomorrow.
2,2026-01-03,22:50,Dad,Sent,Let's meet at 6.
2,2026-01-03,23:50,Office,Sent,Good night.
2,2026-01-03,23:59,Mom,Sent,Okay.
2,2026-01-04,01:00,Karan,Sent,Thanks!
2,2026-01-04,02:27,Mom,Received,I'll call later.
2,2026-01-04,02:55,Boss,Sent,Let's meet at 6.
2,2026-01-04,03:52,Neha,Sent,Call me when free.
2,2026-01-04,05:20,Mom,Received,See you tomorrow.
2,2026-01-04,06:47,Office,Received,Let's meet at 6.
2,2026-01-04,06:56,Mom,Sent,Okay.
2,2026-01-04,07:29,Rohan,Sent,Thanks!
2,2026-01-04,08:42,Meera,Sent,I'm outside.
2,2026-01-04,10:06,Boss,Received,Have lunch?
2,2026-01-04,11:19,Neha,Received,Sounds good!
2,2026-01-04,11:37,Boss,Received,Reached home.
2,2026-01-04,12:56,Rohan,Received,See you tomorrow.
2,2026-01-04,14:26,Boss,Sent,Good morning 😊
2,2026-01-04,15:32,Meera,Sent,Sounds good!
2,2026-01-04,16:11,Dad,Received,Where are you?
2,2026-01-04,17:31,Neha,Received,Okay.
2,2026-01-04,18:49,Karan,Sent,Good night.
2,2026-01-04,20:12,Rahul,Sent,Running late by 10 mins.
2,2026-01-04,20:40,Karan,Received,Have lunch?
2,2026-01-04,21:43,Rohan,Sent,Good night.
2,2026-01-04,21:48,Rohan,Sent,Sounds good!
2,2026-01-04,23:16,Aarav,Sent,Good morning 😊
2,2026-01-04,23:41,Dad,Sent,I'm outside.
2,2026-01-04,23:55,Rohan,Sent,Call me when free.
2,2026-01-05,00:43,Mom,Received,Good morning 😊
2,2026-01-05,01:01,Rohan,Received,Call me when free.
3,2026-01-04,08:05,Priya,Sent,Thanks!
3,2026-01-04,09:29,Ankit,Sent,Reached home.
3,2026-01-04,10:23,Meera,Received,I'm outside.
3,2026-01-04,11:14,Neha,Sent,Sounds good!
3,2026-01-04,12:40,Office,Received,Okay.
3,2026-01-04,12:53,Mom,Sent,Thanks!
3,2026-01-04,14:19,Meera,Sent,No problem.
3,2026-01-04,14:59,Neha,Received,Can you send the notes?
3,2026-01-04,15:37,Office,Sent,Traffic is bad.
3,2026-01-04,16:46,Boss,Sent,On my way.
3,2026-01-04,18:02,Sister,Sent,Meeting started.
3,2026-01-04,19:20,Rahul,Sent,I'll call later.
3,2026-01-04,20:45,Priya,Received,On my way.
3,2026-01-04,21:34,Rohan,Received,Good morning 😊
3,2026-01-04,22:58,Karan,Received,Traffic is bad.
3,2026-01-05,00:12,Sister,Received,Running late by 10 mins.
3,2026-01-05,00:35,Mom,Received,Reached home.
3,2026-01-05,01:51,Dad,Received,Good morning 😊
3,2026-01-05,02:46,Rahul,Sent,Okay.
3,2026-01-05,04:12,Sister,Sent,Let's meet at 6.
3,2026-01-05,05:27,Office,Sent,Meeting started.
3,2026-01-05,06:55,Karan,Sent,Can you pick up milk?
3,2026-01-05,08:04,Meera,Sent,Sounds good!
3,2026-01-05,09:13,Unknown,Received,See you tomorrow.
3,2026-01-05,10:32,Rahul,Received,Sounds good!
3,2026-01-05,11:08,Neha,Received,Where are you?
3,2026-01-05,11:40,Dad,Sent,Meeting started.
3,2026-01-05,12:00,Neha,Sent,Thanks!
3,2026-01-05,12:20,Meera,Sent,Good night.
3,2026-01-05,12:44,Meera,Sent,Meeting started.
3,2026-01-05,14:09,Aarav,Received,Meeting started.
3,2026-01-05,15:36,Mom,Received,Thanks!
3,2026-01-05,16:13,Neha,Received,Let's meet at 6.
3,2026-01-05,16:23,Office,Received,Good night.
3,2026-01-05,17:05,Mom,Received,Have lunch?
3,2026-01-05,17:18,Neha,Received,I'll call later.
3,2026-01-05,17:21,Dad,Sent,Good morning 😊
3,2026-01-05,18:09,Neha,Sent,Traffic is bad.
3,2026-01-05,19:39,Rahul,Received,No problem.
3,2026-01-05,21:09,Neha,Sent,Reached home.
3,2026-01-05,21:34,Aarav,Received,Running late by 10 mins.
3,2026-01-05,23:02,Boss,Received,Have lunch?
3,2026-01-06,00:25,Boss,Sent,Good morning 😊
3,2026-01-06,01:50,Aarav,Received,Good morning 😊
3,2026-01-06,03:01,Rohan,Sent,Good morning 😊
3,2026-01-06,03:29,Meera,Sent,Okay.
3,2026-01-06,04:42,Aarav,Sent,I'm outside.
3,2026-01-06,05:46,Ankit,Received,Good night.
3,2026-01-06,06:51,Dad,Sent,Where are you?
3,2026-01-06,07:37,Priya,Received,Have lunch?
4,2026-01-05,08:22,Karan,Received,Meeting started.
4,2026-01-05,09:20,Rahul,Received,I'm outside.
4,2026-01-05,09:52,Meera,Received,Where are you?
4,2026-01-05,11:00,Priya,Received,Call me when free.
4,2026-01-05,12:16,Office,Sent,Good morning 😊
4,2026-01-05,13:17,Karan,Sent,Where are you?
4,2026-01-05,14:03,Karan,Sent,Thanks!
4,2026-01-05,14:43,Office,Sent,Where are you?
4,2026-01-05,15:43,Rohan,Sent,I'm outside.
4,2026-01-05,16:10,Rohan,Sent,No problem.
4,2026-01-05,17:28,Mom,Received,Running late by 10 mins.
4,2026-01-05,18:48,Unknown,Sent,Where are you?
4,2026-01-05,19:10,Meera,Received,I'm outside.
4,2026-01-05,20:37,Meera,Sent,See you tomorrow.
4,2026-01-05,20:44,Dad,Sent,Reached home.
4,2026-01-05,21:30,Priya,Sent,Where are you?
4,2026-01-05,22:31,Office,Sent,Okay.
4,2026-01-05,23:44,Ankit,Sent,I'm outside.
4,2026-01-06,01:10,Priya,Sent,Have lunch?
4,2026-01-06,01:31,Priya,Received,Where are you?
4,2026-01-06,02:30,Meera,Sent,No problem.
4,2026-01-06,03:19,Karan,Received,On my way.
4,2026-01-06,04:39,Unknown,Received,Have lunch?
4,2026-01-06,05:36,Karan,Sent,No problem.
4,2026-01-06,05:56,Priya,Sent,Done.
4,2026-01-06,07:24,Meera,Received,Meeting started.
4,2026-01-06,07:44,Rahul,Sent,Where are you?
